Var1,Var2,Cat1,Cat2,Cat3,Var3,Var4,Var5,Cat4,Var6,Var7,Var8,Target
102.3,202.9,0,0,0,5.2,15.84,3.2,0,9.13,875.9,86.8,1
117.5,132.4,0,0,0,10,15.76,2.5,0,2.97,1339.7,133.4,1
116.8,155.5,0,0,0,5.8,9.92,2.8,0,20.02,785.8,127.9,1
117.8,121.7,0,0,1,4.3,13.84,2.6,0,5.17,1451.2,150.1,1
90.3,191.2,1,0,0,5.5,4.08,2.9,1,0.44,874.7,163.6,1
109,123.8,0,0,0,5.6,0.24,3.1,0,19.25,1100.8,89,0
102.9,139.6,0,0,0,5.9,5.44,2.4,0,11.11,1247.4,140.7,1
101.1,139.2,1,1,1,4.5,3.36,2.4,0,24.53,1234.8,154.9,1
101.8,149.7,1,0,1,3.1,1.1,2.5,1,5.8,814.3,125.9,0
112.1,141.6,1,0,1,2.4,2.56,2.7,1,12.87,754.5,174.6,1
109.3,147.3,0,1,1,8.4,42.6,2.1,1,10.1,971.6,199.1,0
112.8,117.4,1,1,1,8.5,14,2.9,0,30.14,1120.1,170.5,1
114.9,117,1,1,1,4.5,36.56,2.2,0,4.29,1447.1,156.3,1
112.5,174.6,0,0,0,5.3,19.28,2.3,0,0.88,732.9,156.6,1
103.6,155.7,1,1,1,4.5,21.04,2.5,0,0.77,1084.5,191.3,1
76.6,127.9,1,1,1,2.5,46.4,2,0,18.5,912.1,175.7,0
109,111.8,1,0,1,3.5,10.6,2.5,1,10.9,1086,147.6,0
117.6,173.1,1,1,1,1.5,35.6,3.1,0,10.12,1100.5,178.2,1
112.3,141.6,0,1,1,2.9,10.8,2.4,0,5.4,1255.9,169.7,0
102.2,139.7,0,1,1,0.6,3.12,2.2,1,11.33,1078.7,140,1
92.7,157.8,0,0,1,6.4,37.44,2.3,0,8.47,1053.1,183.1,1
94,163.6,0,0,0,4.9,15.8,2.3,1,5.9,490.8,199.1,0
97.3,145.5,0,0,0,1.2,6.6,2.6,0,6.4,870.3,139.9,0
105.7,137.1,1,1,1,3.9,24.88,2.8,0,13.09,1236.7,198.7,1
121.5,182.3,0,1,1,1.4,31.8,2.2,0,1.8,712,128,0
102.2,88.5,0,1,1,1.1,3.36,2.6,1,0.44,558.5,127.1,1
114.2,136.6,1,1,1,4.5,17.68,2.7,0,9.02,1323.8,89.5,1
111.9,169.2,0,0,0,6,10.8,2.2,0,19.7,954.5,114.6,0
96.7,153.2,1,1,1,8.1,20.96,2.6,0,1.65,949.8,139.4,1
112.3,156.6,0,0,0,8.2,2,3.2,0,2.86,1308.4,160.1,1
104.1,117.9,1,0,1,7.8,17.28,3.1,1,8.47,1070,126.6,1
112,130,0,1,1,1.7,6.64,3.1,0,10.67,1266.4,134.1,1
82,173.1,0,0,0,8.2,12.2,2.6,1,8.6,1026.7,127,0
113.8,130.8,0,1,1,2.1,10.8,2.7,0,14.74,1145.1,102.8,1
119.4,112,0,0,0,5.9,1.6,2.7,0,0.3,622.8,137.8,0
103.8,131.1,0,0,0,7.3,34,2.4,0,28.27,1060.1,189.9,1
98.8,154.8,1,1,1,4.4,28.3,2,0,9.5,943.7,197.4,0
109.8,200.1,0,0,0,4.2,10.4,2.1,0,8.1,835.6,113.5,0
98.3,66.7,0,0,0,4.2,37.28,2.2,0,5.5,693.5,115.3,1
119.1,141,1,0,1,6.1,11.5,2.5,1,4,969.4,151,0
88.3,118.8,1,1,1,3.5,2.4,2.2,0,2.9,750.8,168.6,0
110.7,132.3,0,1,1,6.3,4.56,2.7,0,41.91,1031.5,152.7,1
114.4,152.7,0,0,0,2.4,24.6,2.4,0,12.3,1352.2,175,0
105.7,184.6,0,1,1,3.3,67.7,2.9,1,18.5,1369.7,181.2,0
83.4,181.7,0,0,1,9.1,71.2,2.6,0,1.65,877.5,179.3,1
96,126.9,0,0,1,5.4,3.92,2.2,0,27.94,1324.9,198.5,1
86.6,105.4,0,0,0,2.8,3.8,3,1,31.8,1299.2,138.3,0
97.8,166.4,0,0,1,7.9,23.36,3.1,0,9.35,872.4,92.7,1
93.7,121.7,0,0,0,2.8,5.7,2.3,0,14,882.3,180.6,0
93.2,221.6,1,1,1,2.2,28.2,2.9,0,9.6,1115.3,105.7,1
115.3,125.5,1,0,1,0.7,5.6,2.4,1,7.37,1042.7,184.1,1
96.5,162.7,0,1,1,3.4,16.96,2.7,0,2.64,958.2,92,1
99.8,125.4,0,0,1,5.9,29.8,2.7,0,5.1,1207.2,148.9,0
104.3,104.7,0,0,0,0.9,12.96,2.5,0,5.17,1175.8,171.9,1
90.6,136.1,0,0,0,3.3,7.3,2.9,0,0.5,813.5,129.4,0
111.2,148.5,0,0,0,1.4,11.2,2.8,0,2.4,1205.6,159.4,0
93.1,156.1,0,0,0,3.6,48.2,2.7,1,1.4,795.4,146.7,0
111.7,111.5,0,0,0,1.7,36.64,2.8,0,4.84,523.9,170.4,1
92.9,154.1,0,1,1,4.9,47.9,2.6,1,12.8,1167.8,172.3,0
115.7,147.9,0,1,1,0.2,46.88,2.2,1,3.96,942.4,109.6,1
104.3,131,1,0,0,1.7,12,2.9,1,12.2,1140.9,197.3,0
97.3,125.8,0,0,0,2.6,37.76,2.7,0,2.42,1148.4,110.3,1
136.3,138.5,1,1,1,1.3,1.28,3.1,0,12.76,1254.5,105.2,1
102.8,140,1,1,1,3,9.9,2.7,0,27.1,679.3,106.7,0
92,180.7,0,0,0,2.1,39,2.4,0,8.4,699.8,125.8,0
131.3,119,0,1,1,2.3,5.76,3.2,0,10.89,614.8,138.8,1
114.8,204.1,0,0,1,11.7,13.7,2.3,0,3.7,1170.3,190.1,0
79.7,139.3,0,0,0,4.6,62,2.3,0,7.7,980.8,196.7,0
101.5,187.9,0,0,0,3.5,16.48,3.1,0,23.21,1070,137.1,1
94.2,104,1,1,1,1.2,4.9,2.8,0,13.2,1254.5,195.2,0
112.7,139,1,0,0,3.4,56.64,2.9,1,12.32,978.3,146,1
72.9,108.9,0,1,1,3.3,36.4,2.6,0,10.2,1216.3,113.9,0
109.1,122.9,1,0,1,3.5,24.4,2.1,1,3.5,910.5,140.4,0
113.5,109.4,0,1,1,8.6,7.92,2.3,0,1.65,788.4,162.3,1
113.1,150.2,0,0,0,0.5,44.2,2.3,0,28.5,786.5,139.3,0
94.8,136.6,0,0,0,5.2,8,2.2,0,0.55,915.2,140.2,1
97.8,186.2,1,1,1,2.1,30.24,2.7,0,13.86,1171.3,199,1
90.9,73.3,0,1,1,3,12.96,2.4,1,7.37,1226.9,129.4,1
100.9,111.2,1,1,1,3.6,3.68,3.1,0,4.18,820.8,174.8,1
115.7,196.7,0,1,1,2.1,0.08,2.5,1,6.93,1228.6,113.7,1
107.8,73.6,0,0,0,1.7,11.52,2.3,0,10.23,916.7,191.5,1
103.9,140.2,1,0,0,4.5,41.9,2.9,1,8.7,1139.2,190.4,0
87.4,155.2,1,0,0,4.8,10.9,2.7,1,3.5,1071,199,0
101.9,162,0,1,1,3.7,17.9,3,0,5.4,1087.6,126,0
103.4,115.1,1,0,1,6.5,19.36,2.5,1,10.23,851.8,94.9,1
96,132.7,0,1,1,5.9,21.3,2.9,1,14.7,833.8,193.4,0
97.5,164.8,0,1,1,9.1,48.8,2.7,0,1.65,934.5,167.1,1
96,120.3,0,1,1,5.7,17.04,3.2,1,1.43,979.5,80.2,1
89.2,207.9,0,1,1,6.1,5.4,2.6,0,1.7,938.1,129.6,1
118.7,128.3,0,0,0,3.4,4.4,2.6,0,2.64,1098.1,86.2,1
92.1,154.2,1,0,1,8.3,7.92,2.8,1,11.55,829.5,84.5,1
104.4,113.2,1,0,0,10.7,13.2,2.8,1,10.34,1044.9,169.9,1
107.3,120.9,0,1,1,13,8.3,2.6,1,12.7,1319.9,188.7,0
100.2,144.1,0,1,1,1.2,26.6,3,1,15.2,925.8,154.5,0
103.4,81.1,0,1,1,3.3,2,2.8,0,14.5,1045.4,122,0
116.3,179.6,0,1,1,2.9,21.76,3.2,1,9.35,912.3,195.9,0
91.6,156,0,1,1,3.8,38.7,2,1,16.2,1119.3,184.3,0
113.4,117.4,1,1,1,1.8,20.2,2.4,0,1.2,1125.5,169.4,0
105.2,141.2,1,0,0,0.4,6.32,3.1,1,5.72,1063.5,91.1,1
106.2,156.2,1,0,0,12.1,0.88,2.8,1,0.22,922,175.5,1
100.8,123.4,0,0,0,3.7,13.4,2.3,0,0.3,762.5,137.4,1
113.9,109.1,0,0,0,2,10.16,2.6,0,26.95,946.3,190.1,1
109.6,133.5,1,0,1,6.5,16.4,2.4,1,17.82,858.1,90,1
100.9,187.3,0,0,0,8.6,37.7,2.1,0,4.9,1181.5,154.8,0
120.2,140.2,1,1,1,3.6,2.16,2.3,0,24.53,1066.5,163.3,1
81.8,145.5,0,1,1,4.4,3.2,2.3,1,10.7,1040.1,140.5,0
98,51.8,0,1,1,7.5,12.48,3.1,0,7.7,1474.9,120.5,1
110.8,145.4,0,1,1,2.9,23.7,2.4,1,26,925,159,0
94.7,147.9,0,0,0,1.4,40.2,2.9,0,13.3,895.4,170.7,0
103.6,162.1,1,1,1,2.4,0.96,2.4,0,0.11,1102.7,95.8,1
97.4,125.7,0,0,0,2.9,9.3,2.2,0,19.6,998.3,197.2,0
96.2,155.4,1,1,1,4.8,0.72,3,0,23.76,997.6,159.4,1
95.6,131.4,1,1,1,3.3,15,3,0,1.2,1206.7,139.1,0
106.5,155,0,1,1,6.8,24.3,2.9,0,17.9,738.9,181.7,0
105.8,154.8,0,0,0,2.4,12.16,2.2,0,6.38,915.2,142.1,1
117.9,177.4,0,0,0,2.2,4.8,3.1,0,10.56,737.8,149.6,1
109.1,95.1,1,0,1,9.6,2.64,2.8,1,17.49,896.1,92.5,0
113.4,114.3,0,0,1,2.3,11.6,2,0,25.6,980.3,141.3,0
130,88.4,0,1,1,2.5,8.56,3.2,1,2.2,953.7,84.7,1
94.1,156.6,0,1,1,3.7,0.1,2,1,0.4,993.7,137.2,0
116.6,97.1,0,0,0,3.4,26.4,2.1,1,15.6,932,163.1,1
99.6,140.4,1,1,1,2.1,5.84,2.8,0,3.74,823.2,80,1
101.2,132.4,1,0,1,4.6,14.6,2,1,10.9,1140.3,187.4,0
84.1,156,1,0,0,5.2,12.6,2.8,1,11.4,1085.5,176.1,1
91.5,182.5,0,0,0,6.6,3.04,3.2,0,26.18,1212,152.6,1
111.3,157.1,0,1,1,5.7,50.96,2.6,0,4.95,1215.5,155.2,1
92.6,126.5,0,1,1,1.2,9.92,2.5,1,6.49,880.2,166,1
96.6,143.6,1,1,1,0.3,4.4,2.4,0,1.1,1350.7,164.1,0
94.5,115.9,1,0,0,1.5,35.52,2.7,1,8.58,874.1,148.7,1
115.2,122,1,0,1,2.1,0.88,2.6,1,12.32,847.9,178.1,1
75.9,164.4,1,0,1,7,24.1,2.3,1,0.3,1187.5,109.4,0
115,187.2,0,0,0,5.6,23.8,2.1,0,7.8,1097.2,189.9,0
99.7,158.8,0,1,1,8.5,27.52,3.1,1,22.33,856.4,117.6,1
102.3,132,1,0,0,13.2,13.44,2.2,1,0.11,1128.3,82.6,1
100.2,119.2,0,0,0,5.8,5.1,2.2,0,7.8,1049.1,119.1,1
111.3,130.3,1,1,1,5.8,7.9,2.4,0,6.3,1031.6,184.6,0
79.3,180.9,0,0,1,2.5,12.7,2.9,0,5.7,1038,128.3,0
100.9,88.3,0,0,0,3.5,20.88,3,0,3.3,1048.4,183.1,1
106.8,113.5,0,1,1,5.7,21.12,2.3,0,20.9,990.3,169.8,1
103.3,154,1,0,1,6.3,0.96,3.1,1,23.65,802.6,84.5,1
85.2,160.8,0,0,0,2.8,65.68,2.6,0,20.46,834.3,141.6,1
106.8,50.1,0,1,1,2.7,50.6,2,1,19.4,870.4,122.2,0
132.8,115,0,1,1,8,37.68,2.2,1,1.98,991,176.3,1
112.1,166.2,1,1,1,4,35.12,2.6,0,8.91,1073.6,154.1,1
128.5,125.3,1,0,0,2.1,23.76,2.7,1,6.16,1051.7,166.1,1
82.8,124.3,1,0,1,4.8,9,2.3,1,12.1,1056,160.6,0
96.1,112.9,0,0,0,2.1,4.88,2.3,0,16.61,1322.1,148.5,1
105.3,120.3,0,0,0,9.1,30.8,2.9,0,32.5,1332.8,194.9,0
90.2,91.7,1,0,0,1.3,31.36,2.2,1,43.89,1152.7,177.9,1
104.4,168.1,0,1,1,2.8,1.52,3,0,15.4,1307,175.1,1
88.7,153.1,0,0,0,2.6,12.8,2.2,1,8.8,1205.1,138.7,0
106.8,178.6,0,0,0,5,34.5,2.1,0,2.7,720.4,177.6,0
99.8,130.1,0,0,1,2.5,27.92,2.4,0,5.06,1320.6,83.5,0
103.7,180.9,0,1,1,5.9,32.72,2.8,0,9.46,902.7,111.2,1
93.5,206.7,0,0,0,1.2,26.8,2.3,0,3.63,970.6,85.9,1
106.4,123.4,1,0,0,8.8,2.4,2.6,1,9.9,1182.6,115.8,0
105.7,148.6,1,0,0,2.3,2.88,2.5,1,3.96,1507.7,194.4,1
97.6,153.1,1,0,0,1.4,13.04,3,1,7.92,998.8,184.8,1
114,92.3,0,0,0,2.7,4.32,2.4,0,24.31,1015.9,82.5,1
91,170.4,1,0,0,4.2,51.92,2.5,1,10.56,1171.9,165.8,1
104.2,182.5,1,0,1,2.6,1.2,2.4,1,28,1031.2,198.8,1
99.4,143.6,1,0,0,3.3,1.12,2.9,1,12.54,988.9,108.4,1
103.6,168.9,0,1,1,3.3,6.2,2.7,0,3.8,1132.2,185.1,0
124.3,169.8,1,1,1,1.5,28.8,2.2,0,9.9,1154,194.4,1
98.2,111.9,0,1,1,1.6,7.5,2.5,0,13.2,738.6,143.5,1
105.1,117.8,0,0,1,2.5,3.52,2.3,0,5.83,1001.8,127,1
91.4,153.4,0,1,1,5.8,5.36,2.6,1,5.5,1254.2,101.8,1
110.6,159.2,0,0,0,7.2,0.8,2.4,0,22.44,950,112.1,1
93.3,162.7,0,0,1,3.2,6.5,2.2,0,8.1,1024.6,128.8,0
95.2,163.6,0,0,0,7.2,21.2,2.8,0,7.8,1198.3,178.5,0
100.5,134.5,1,1,1,1.1,0.48,2.6,0,2.42,1430.2,97.2,1
107.7,144.3,1,1,1,5.4,4.88,2.7,0,4.62,886,116,1
120,116.6,1,0,0,0.6,2,2.2,1,2.64,1075.9,161.3,1
108.8,69.6,0,1,1,5.1,20.64,2.2,1,17.82,902,173.5,1
83.9,125.9,0,0,1,3.3,5.44,2.3,0,8.47,1204.4,91.5,1
107.1,202.6,0,1,1,5.7,14.48,2.6,1,13.53,1364.8,185.9,1
103.5,144.2,0,0,0,2.3,33.2,2.9,1,13.2,972.3,108.7,0
105.2,228,0,0,0,12.8,14.48,3.2,0,1.32,1282.6,87.7,1
108,121,0,0,0,3.3,10.96,2.5,0,7.92,1162.4,119.8,1
111.4,173.4,1,0,1,0.9,3.04,2.7,1,0.44,858.1,115.9,0
112.9,146.8,1,0,1,6.4,79.6,2.8,1,18.1,1008.1,197.9,0
92.9,150.9,0,0,0,3.6,9.12,2.2,0,33.11,891.1,162.1,1
96.8,175.2,0,0,0,3.1,43.6,2.6,0,5.28,1317,89.9,1
92.3,144.7,0,1,1,5.2,5.92,2.5,0,11.88,1259.5,167,1
97.4,101.6,0,1,1,2.4,36.1,2.5,1,5.7,1078.4,163.7,0
105.7,174.6,0,0,1,3.8,39.2,2.4,0,4.9,989.9,196.4,0
98.8,133.2,1,0,1,2.7,13.7,2,1,3.7,947.5,102.2,0
96.1,155.5,0,0,0,2.7,5.1,2.2,0,6.7,1135.3,115.2,0
94.1,142.3,1,0,0,1.4,7.2,3,1,7.92,1335.2,143.4,1
119.1,152.2,0,0,1,3.3,2.56,2.4,0,12.1,1309.2,166.7,1
99.7,180.5,0,0,1,1.6,15.2,3.2,0,0.88,821.7,104.3,0
94.6,113.7,1,0,0,3.5,12.16,2.2,1,15.18,1376.2,118.8,1
100.8,82.2,0,1,1,3.8,1.7,2.7,0,3.2,1320,169.2,0
116.9,101.7,1,1,1,1.2,2.8,3.2,0,3.41,654.5,95.3,1
